Country name,Regional indicator,Ladder score,lLadder score),upperwhisker,lowerwhisker,Log GDP per capita,Social support,lSocial support,Healthy life expectancy,lHealthy life expectancy,Freedom to make life choices,lFreedom to make life choices,Generosity,lGenerosity,Perceptions of corruption,lPerceptions of corruption,Dystopia + residual,Cluster
Paraguay,Latin America and Caribbean,5.977,1.78791877,6.085,5.868,1.398,1.408,0.342170258,0.549,-0.599656837,0.788,0.581097677,0.131,-2.032557956,0.065,0.062974799,1.637,0
Thailand,Southeast Asia,5.976,1.787751448,6.094,5.858,1.484,1.347,0.297879897,0.62,-0.478035801,0.756,0.563038495,0.283,-1.262308381,0.024,0.023716527,1.463,0
Malaysia,Southeast Asia,5.975,1.787584098,6.078,5.872,1.646,1.143,0.133656385,0.54,-0.616186139,0.829,0.603769369,0.226,-1.48722028,0.119,0.112435429,1.473,0
China,East Asia,5.973,1.787249314,6.061,5.885,1.497,1.239,0.214304603,0.629,-0.463624022,0.704,0.532978428,0.132,-2.024953356,0.164,0.151862349,1.608,0
Honduras,Latin America and Caribbean,5.968,1.786411863,6.114,5.822,1.091,1.035,0.034401427,0.502,-0.689155159,0.72,0.542324291,0.175,-1.742969305,0.081,0.077886539,2.364,0
Croatia,Central and Eastern Europe,5.942,1.782045777,6.047,5.837,1.71,1.445,0.368109322,0.637,-0.450985623,0.469,0.384581897,0.064,-2.748872196,0.043,0.042101176,1.574,0
Greece,Western Europe,5.934,1.780698522,6.027,5.84,1.684,1.276,0.243730185,0.696,-0.362405619,0.337,0.290428298,0.018,-4.017383521,0.093,0.088926209,1.83,0
Bosnia and Herzegovina,Central and Eastern Europe,5.877,1.771046428,5.979,5.775,1.465,1.318,0.276115436,0.587,-0.532730459,0.621,0.483043243,0.246,-1.402423743,0,0,1.64,0
Libya,Middle East and North Africa,5.866,1.769172971,5.987,5.746,1.526,1.1,0.09531018,0.55,-0.597837001,0.592,0.464991087,0.111,-2.198225078,0.204,0.185649347,1.785,0
Jamaica,Latin America and Caribbean,5.842,1.765073204,6.059,5.624,1.28,1.324,0.280657458,0.567,-0.567395975,0.647,0.498955451,0.089,-2.419118909,0.028,0.027615167,1.907,0
Peru,Latin America and Caribbean,5.841,1.764902015,5.946,5.736,1.371,1.18,0.165514438,0.662,-0.412489723,0.615,0.479334957,0.078,-2.551046452,0.029,0.028587457,1.907,0
